date_mutation,commune,code_postal,zone_toulon,numero_voie,type_voie,voie,adresse_complete,type_local,nombre_pieces,surface_reelle_bati,valeur_fonciere,prix_m2
25/01/2023,TOULON,83000,Centre / Littoral,401,AV,JACQUES CARTIER,401 AV JACQUES CARTIER,Appartement,4.0,86.0,310000.0,3604.65
23/01/2023,TOULON,83100,Est Toulon,17,RUE,SAINTE GERMAINE,17 RUE SAINTE GERMAINE,Appartement,2.0,45.0,103400.0,2297.78
25/01/2023,TOULON,83100,Est Toulon,2,RUE,SEBASTIEN CARLE,2 RUE SEBASTIEN CARLE,Maison,4.0,85.0,295000.0,3470.59
23/01/2023,TOULON,83000,Centre / Littoral,36,AV,ERNEST NOGRE,36 AV ERNEST NOGRE,Appartement,4.0,66.0,225000.0,3409.09
10/01/2023,TOULON,83200,Ouest Toulon,41,RUE,MARCO DE SAINT HILAIRE,41 RUE MARCO DE SAINT HILAIRE,Maison,4.0,150.0,684850.0,4565.67
23/01/2023,TOULON,83000,Centre / Littoral,1,BD,GEORGES RICHARD,1 BD GEORGES RICHARD,Appartement,2.0,37.0,100000.0,2702.7
23/01/2023,TOULON,83000,Centre / Littoral,1,BD,GEORGES RICHARD,1 BD GEORGES RICHARD,Appartement,2.0,37.0,100000.0,2702.7
23/01/2023,TOULON,83200,Ouest Toulon,19,,JARDINS DE L OLYMPE MAJOUR,19  JARDINS DE L OLYMPE MAJOUR,Maison,8.0,193.0,800000.0,4145.08
20/01/2023,TOULON,83100,Est Toulon,67,AV,FREDERIC PASSY,67 AV FREDERIC PASSY,Appartement,3.0,68.0,154310.0,2269.26
26/01/2023,TOULON,83200,Ouest Toulon,106,RUE,LACORDAIRE,106 RUE LACORDAIRE,Appartement,3.0,67.0,360000.0,5373.13
26/01/2023,TOULON,83200,Ouest Toulon,106,RUE,LACORDAIRE,106 RUE LACORDAIRE,Appartement,3.0,56.0,360000.0,6428.57
23/01/2023,TOULON,83000,Centre / Littoral,38,IMP,EYRAUD,38 IMP EYRAUD,Appartement,3.0,63.0,64000.0,1015.87
11/01/2023,TOULON,83000,Centre / Littoral,109,AV,D ENTRECASTEAUX,109 AV D ENTRECASTEAUX,Appartement,5.0,90.0,155000.0,1722.22
26/01/2023,TOULON,83000,Centre / Littoral,522,RUE,DU DOCTEUR BARROIS,522 RUE DU DOCTEUR BARROIS,Appartement,3.0,69.0,179750.0,2605.07
27/01/2023,TOULON,83000,Centre / Littoral,26,RUE,VINCENT COURDOUAN,26 RUE VINCENT COURDOUAN,Appartement,2.0,21.0,55000.0,2619.05
31/01/2023,TOULON,83100,Est Toulon,325,RUE,DE NICE,325 RUE DE NICE,Appartement,2.0,28.0,107800.0,3850.0
